"Year","Quarter","Month","Group","Unit","Population","Deflator","Total Disposable Income (nominal $)","Total Factor Income (nominal $)","Total Posttax Income (nominal $)","Total Pretax Income (nominal $)","Disposable Income Per Unit (nominal $)","Factor Income Per Unit (nominal $)","Posttax Income Per Unit (nominal $)","Pretax Income Per Unit (nominal $)","Disposable Income Share","Factor Income Share","Posttax Income Share","Pretax Income Share"
"1976","4","11","Total","Adults","144889396.2789848","0.26418245","1304511255577.978","1657838348076.4968","1657838355883.015","1657838347833.667","9003.4970748732","11442.0957685842","11442.0958224634","11442.0957669083","1","1","1","1"
"1976","4","12","Total","Adults","145136071.62014532","0.26560682","1313114750873.386","1673497735313.435","1673497747378.866","1673497734896.9119","9047.4734241816","11530.5431422546","11530.5432253864","11530.5431393847","1","1","1","1"
"1977","1","1","Total","Adults","145386291.10461688","0.26686192","1314716157644.947","1682613663422.2","1682613654583.242","1682613657490.518","9042.9169604368","11573.3997382974","11573.399677501","11573.3996974979","1","1","1","1"
"1977","1","2","Total","Adults","145642641","0.26868793","1323287872948.153","1701499736249.325","1701499746098.7668","1701499736407.337","9085.8546910596","11682.7031188574","11682.7031864848","11682.7031199423","1","1","1","1"
"1977","1","3","Total","Adults","145905815.063853","0.26981071","1343051525009.184","1724817184791.3032","1724817193771.6968","1724817191806.2341","9204.9211638441","11821.4423738798","11821.4424354291","11821.4424219583","1","1","1","1"
"1977","2","4","Total","Adults","146168407.60310817","0.27117869","1360605255724.37","1748043714126.179","1748043738700.61","1748043718977.548","9308.4769686951","11959.1075991787","11959.1077673028","11959.107632369","1","1","1","1"
"1977","2","5","Total","Adults","146426160.62610802","0.27223298","1375799133059.822","1770121624588.9468","1770121626563.242","1770121623740.826","9395.8560900388","12088.8345157725","12088.8345292557","12088.8345099804","1","1","1","1"
"1977","2","6","Total","Adults","146679119.1890261","0.27330625","1392404590983.3909","1790349884822.8608","1790349891424.95","1790349887665.9182","9492.8616880293","12205.8947089506","12205.894753961","12205.8947283334","1","1","1","1"
"1977","3","7","Total","Adults","146926144.9028724","0.27415538","1414774942596.262","1811754796283.086","1811754797329.969","1811754792258","9629.1571764271","12331.0578759197","12331.0578830449","12331.0578485244","1","1","1","1"
"1977","3","8","Total","Adults","147164947.5927881","0.2754336","1426035496677.0732","1823547355997.6218","1823547371879.3018","1823547365229.375","9690.048615537","12391.1800046534","12391.1801125709","12391.1800673841","1","1","1","1"
"1977","3","9","Total","Adults","147401808.35867882","0.27705738","1437265766957.202","1839617859743.4119","1839617843939.464","1839617854484.925","9750.6657683591","12480.2936967164","12480.2935894996","12480.2936610419","1","1","1","1"
"1977","4","10","Total","Adults","147647692.74356398","0.2795248","1451405058251.44","1858755228431.683","1858755219481.692","1858755234684.817","9830.1912565085","12589.124786799","12589.1247261818","12589.1248291507","1","1","1","1"
"1977","4","11","Total","Adults","147897955.41246268","0.28177005","1465387600668.001","1873235942047.647","1873235924702.2","1873235938987.8281","9908.0991118591","12665.7325101182","12665.7323928384","12665.7324894295","1","1","1","1"
"1977","4","12","Total","Adults","148149105.6542373","0.28321278","1474714912225.3682","1884048345798.654","1884048354065.728","1884048338531.2842","9954.2613214769","12717.2441404797","12717.2441962821","12717.2440914252","1","1","1","1"
"1978","1","1","Total","Adults","148404329.2101339","0.28440222","1476141493291.7869","1886382843684.964","1886382853229.49","1886382842288.855","9946.7549305899","12711.1038722727","12711.103936587","12711.1038628652","1","1","1","1"
"1978","1","2","Total","Adults","148664053","0.28537574","1491410974888.228","1906657821935.23","1906657821083.525","1906657824635.613","10032.0887584588","12825.2780915049","12825.2780857759","12825.2781096693","1","1","1","1"
"1978","1","3","Total","Adults","148932248.02528808","0.28702319","1517073427133.9568","1938827039219.067","1938827055424.425","1938827039096.289","10186.3326932147","13018.1815216397","13018.18163045","13018.1815208153","1","1","1","1"
"1978","2","4","Total","Adults","149200228.52372968","0.28914073","1544028955387.725","1981192967925.762","1981192954881.5042","1981192974061.485","10348.7036894327","13278.7529049304","13278.7528175026","13278.7529460545","1","1","1","1"
"1978","2","5","Total","Adults","149460465.3808165","0.29112369","1556335875853.3818","2003741645090.192","2003741660550.306","2003741645127.292","10413.027096416","13406.4994377261","13406.4995411656","13406.4994379743","1","1","1","1"
"1978","2","6","Total","Adults","149715624.19511408","0.2929199","1569709419365.0469","2027783217152.801","2027783217678.396","2027783217475.565","10484.6065853444","13544.2324610699","13544.2324645805","13544.2324632257","1","1","1","1"
"1978","3","7","Total","Adults","149968376.8909602","0.2944001","1581476285969.433","2037914088747.924","2037914102335.51","2037914088615.566","10545.3984283587","13588.95875915","13588.958849753","13588.9587582674","1","1","1","1"
"1978","3","8","Total","Adults","150219452.9605379","0.29588762","1594604437467.058","2054670943454.816","2054670943872.4731","2054670941531.817","10615.1660523351","13677.7954050636","13677.7954078439","13677.7953922624","1","1","1","1"
"1978","3","9","Total","Adults","150464476.786356","0.29770294","1605215254876.6018","2071719991820.6292","2071719982689.75","2071719991976.894","10668.4002042279","13768.8312621607","13768.8312014761","13768.8312631992","1","1","1","1"
"1978","4","10","Total","Adults","150711599.0250714","0.30033109","1624576927322.335","2101465109694.788","2101465127538.935","2101465108062.729","10779.375561214","13943.6189602447","13943.619078644","13943.6189494157","1","1","1","1"
"1978","4","11","Total","Adults","150963492.94643793","0.30219555","1634100954050.4219","2117687731653.833","2117687724402.5369","2117687731551.818","10824.4776412944","14027.8135483073","14027.8135002738","14027.8135476315","1","1","1","1"
"1978","4","12","Total","Adults","151218522.15785432","0.30364567","1648006723655.44","2138068151435.4968","2138068152854.468","2138068150672.2258","10898.1803296233","14138.9303434906","14138.9303528742","14138.9303384432","1","1","1","1"
"1979","1","1","Total","Adults","151476573.63021392","0.30585822","1662242186506.252","2153266748117.414","2153266719569.228","2153266749236.426","10973.5924616577","14215.1799219726","14215.1797335065","14215.1799293599","1","1","1","1"
"1979","1","2","Total","Adults","151738774","0.30733302","1674973449732.0242","2171961365868.383","2171961366259.745","2171961377052.396","11038.5329047935","14313.819128843","14313.8191314222","14313.8192025487","1","1","1","1"
