"Year","Quarter","Group","Unit","Population","Deflator","Total Wealth (nominal $)","Wealth Per Unit (nominal $)","Wealth Share"
"1987","4","Top 10%","Adults","17308848.335657682","0.47597352","9151714837322.14","528730.4308091277","0.6306805059"
"1988","1","Top 10%","Adults","17355296.8810536","0.47970483","9474267469859.717","545900.6281939532","0.6339215978"
"1988","2","Top 10%","Adults","17403555.01945551","0.48437718","9757423331605.305","560656.9072064551","0.6369390643"
"1988","3","Top 10%","Adults","17449443.4017764","0.49016401","9958288339081.104","570693.7527914112","0.6407547316"
"1988","4","Top 10%","Adults","17496050.814712223","0.49439895","10307291041782.09","589121.0051307584","0.6455210348"
"1989","1","Top 10%","Adults","17546553.146208193","0.49955836","10521563605304.66","599637.0636234256","0.6448563721"
"1989","2","Top 10%","Adults","17599511.42155522","0.50487465","10766698596808.1","611761.22103148","0.6451819458"
"1989","3","Top 10%","Adults","17650597.50648729","0.50856471","11080581097598.99","627773.710976438","0.6446962484"
"1989","4","Top 10%","Adults","17706756.6320566","0.51218873","11292069820359.68","637726.6065721111","0.6453313623"
"1990","1","Top 10%","Adults","17770812.79561942","0.51771134","11204618349185.62","630506.8022520391","0.6451736814"
"1990","2","Top 10%","Adults","17839769.85910217","0.52350646","11393959790542.84","638683.1153390377","0.6462485129"
"1990","3","Top 10%","Adults","17908089.04342087","0.52799726","11152817250683.17","622780.9803514756","0.644763437"
"1990","4","Top 10%","Adults","17976087.05345676","0.53192663","11500389884288.85","639760.469010265","0.647869176"
"1991","1","Top 10%","Adults","18046637.757111203","0.53713566","11881471495447.35","658375.9066569342","0.6485148363"
"1991","2","Top 10%","Adults","18116459.812300712","0.54108161","11852697737042.83","654250.2155412884","0.6477451743"
"1991","3","Top 10%","Adults","18179809.967034433","0.54530823","12036948156329.08","662105.2793266682","0.6472018838"
"1991","4","Top 10%","Adults","18242408.246864542","0.54854423","12461351304523.46","683097.9296094464","0.6494294373"
"1992","1","Top 10%","Adults","18306287.792329792","0.55058324","12424296515520.36","678690.1121879037","0.6507928248"
"1992","2","Top 10%","Adults","18368427.91598488","0.55389357","12488090538813.34","679867.1391984365","0.6531212008"
"1992","3","Top 10%","Adults","18425220.1017786","0.55660123","12736632391634.14","691260.8002118067","0.6564663958"
"1992","4","Top 10%","Adults","18479384.803040434","0.5604316","13226086145148.19","715721.1284962303","0.6619623783"
"1993","1","Top 10%","Adults","18534794.152382102","0.56357676","13432037635689.46","724693.11098139","0.661694994"
"1993","2","Top 10%","Adults","18589350.18691719","0.56692845","13559471805430.27","729421.5058132131","0.6618589965"
"1993","3","Top 10%","Adults","18639916.99507072","0.57029653","13826631060024.9","741775.3557422664","0.6631241207"
"1993","4","Top 10%","Adults","18690764.7535986","0.57340866","14125218381969.21","755732.5004184021","0.6650170971"
"1994","1","Top 10%","Adults","18744823.40476935","0.57614928","14101062130272.42","752264.335906446","0.6639864925"
"1994","2","Top 10%","Adults","18800567.1453491","0.57893133","14159877870257.26","753162.2722222048","0.6636953997"
"1994","3","Top 10%","Adults","18854297.36216871","0.58224988","14396361627396.03","763558.6386943507","0.6639291316"
"1994","4","Top 10%","Adults","18907872.82829344","0.58541155","14542604337535.31","769129.5826664325","0.6654726896"
"1995","1","Top 10%","Adults","18963308.15504781","0.58858985","14893909770423.53","785406.725907101","0.6653389037"
"1995","2","Top 10%","Adults","19018625.89210176","0.59141302","15286433226566.34","803761.1819744895","0.6663081437"
"1995","3","Top 10%","Adults","19069020.74979484","0.59432715","15734153403566.12","825115.9621678737","0.6680676588"
"1995","4","Top 10%","Adults","19120794.55668908","0.59719163","16221485271107.11","848368.7862977589","0.6701707166"
"1996","1","Top 10%","Adults","19177239.89430413","0.6000644","16593492806991.81","865270.1274243472","0.6708181088"
"1996","2","Top 10%","Adults","19237441.84411935","0.60254914","16884873994875.71","877708.9039017529","0.6718562066"
"1996","3","Top 10%","Adults","19295488.19777153","0.60452223","17054490779969.2","883858.9936241598","0.6719018253"
"1996","4","Top 10%","Adults","19354195.16090091","0.60774994","17550410347927.66","906801.3524728101","0.6727969681"
"1997","1","Top 10%","Adults","19416278.64088714","0.6113739","17673307799539.79","910231.4674410897","0.6735974158"
"1997","2","Top 10%","Adults","19478777.85932617","0.61261219","18766854153913.5","963451.3155520273","0.677122699"
"1997","3","Top 10%","Adults","19536440.75347627","0.61527038","19549845208272.38","1000686.1257362718","0.6796182538"
"1997","4","Top 10%","Adults","19593136.75314056","0.61729282","19920329505209.41","1016699.3552993195","0.6813818935"
"1998","1","Top 10%","Adults","19653516.19369218","0.61820096","21228608362416.27","1080143.0213912367","0.683706536"
"1998","2","Top 10%","Adults","19715487.65922025","0.61965382","21597820145830.35","1095474.8124492778","0.6847738031"
"1998","3","Top 10%","Adults","19775111.31733541","0.62232023","20827058189897.67","1053195.4968890666","0.6821575238"
"1998","4","Top 10%","Adults","19834716.080731284","0.62402904","22541299363157.59","1136456.8704391818","0.685838239"
"1999","1","Top 10%","Adults","19900119.42774413","0.62602675","22630786838933.37","1137218.6443957833","0.6833408309"
"1999","2","Top 10%","Adults","19967480.281108018","0.62839597","23383355443835.84","1171071.9186716669","0.6842362605"
"1999","3","Top 10%","Adults","20031784.714401808","0.63063312","23027072354435.96","1149526.748751483","0.6819546892"
"1999","4","Top 10%","Adults","20094549.225439858","0.63411677","25120946972105.5","1250137.372591677","0.6863610317"
"2000","1","Top 10%","Adults","20158813.36175931","0.63832688","26014014977713.84","1290453.6844942311","0.6873036916"
"2000","2","Top 10%","Adults","20223367.2046901","0.64230585","25597908765512.54","1265758.9859504704","0.6846075262"
"2000","3","Top 10%","Adults","20284464.993246064","0.64607018","26006413812886.28","1282085.2717360505","0.6846373574"
"2000","4","Top 10%","Adults","20344333.03199651","0.64957863","25249980884836.7","1241130.9255076016","0.6808232977"
"2001","1","Top 10%","Adults","20406366.27925326","0.65383822","24626636640599.53","1206811.4579339358","0.6740221953"
"2001","2","Top 10%","Adults","20469297.36165536","0.65779245","25573051977183.63","1249337.0693362935","0.6767226845"
"2001","3","Top 10%","Adults","20528898.24927916","0.66037631","24443942585261.95","1190708.9356887557","0.6742817004"
"2001","4","Top 10%","Adults","20586379.86977373","0.66243184","25696288566794.82","1248217.9348358277","0.6770798609"
"2002","1","Top 10%","Adults","20645192.132624134","0.66456991","26077010503550.94","1263103.309285424","0.6772570553"
"2002","2","Top 10%","Adults","20703149.577727795","0.66687304","25395792364378.16","1226663.2315548093","0.6767564902"
"2002","3","Top 10%","Adults","20757210.00064209","0.67008436","24319677075712.3","1171625.5255383556","0.6741521042"
"2002","4","Top 10%","Adults","20811127.924245033","0.67393118","25063386215476.04","1204326.1810080514","0.6782983214"
"2003","1","Top 10%","Adults","20868343.02884605","0.67729104","25004284406498.14","1198192.1311114652","0.6751453889"
"2003","2","Top 10%","Adults","20927979.89845501","0.67962724","26512890128907.55","1266863.3216178138","0.6800510281"
"2003","3","Top 10%","Adults","20985168.98129637","0.68349057","27093978071505.84","1291101.2580196098","0.6806415003"
"2003","4","Top 10%","Adults","21043543.718798783","0.68770075","28572692328113.87","1357789.006924204","0.6826075723"
"2004","1","Top 10%","Adults","21105148.170863092","0.69256294","30179218285816.9","1429945.8142388735","0.684442216"
"2004","2","Top 10%","Adults","21168177.23111053","0.69812691","30495446230167.17","1440626.9324572973","0.6832498528"
"2004","3","Top 10%","Adults","21228759.40490966","0.70260942","31089412737329.75","1464495.0345115117","0.6830665432"
"2004","4","Top 10%","Adults","21287924.64177504","0.70804125","32835695751360.75","1542456.4068084199","0.6845081402"
"2005","1","Top 10%","Adults","21351253.468329567","0.71367961","33173370818238.82","1553696.6420938736","0.683200234"
"2005","2","Top 10%","Adults","21417063.375121485","0.71887201","34128768725634.71","1593531.6680847763","0.6842769923"
"2005","3","Top 10%","Adults","21480091.571466412","0.72541016","35167835764729.2","1637229.322217845","0.6848374657"
"2005","4","Top 10%","Adults","21541999.026293192","0.73127949","36158014542728.63","1678489.2849821316","0.6846359141"
"2006","1","Top 10%","Adults","21605590.96060404","0.73643064","37614231240236.5","1740948.965886786","0.6899650804"
"2006","2","Top 10%","Adults","21669168.392659813","0.74296045","37371182095623.92","1724624.6564904165","0.6884906198"
"2006","3","Top 10%","Adults","21728770.64582676","0.74814469","38114137339936.42","1754086.2279411396","0.6891730664"
"2006","4","Top 10%","Adults","21787009.51752162","0.75094324","39208392728950.11","1799622.5088816255","0.6913433831"
"2007","1","Top 10%","Adults","21848340.273462962","0.75814158","39990797505906.92","1830381.484605484","0.6953475198"
"2007","2","Top 10%","Adults","21912028.278877582","0.76321024","40454884168322.67","1846240.9619706334","0.6961381681"
"2007","3","Top 10%","Adults","21973599.03838153","0.76717275","41105987066690.13","1870698.8779985402","0.6992218018"
"2007","4","Top 10%","Adults","22034465.89109007","0.77042526","40725578429617.41","1848267.1025888282","0.7018754917"
"2008","1","Top 10%","Adults","22097640.15688186","0.77313292","39548637581208.36","1789722.2192249221","0.7083904485"
"2008","2","Top 10%","Adults","22161755.689839114","0.77705407","38639219086930.98","1743508.9361916652","0.7098421816"
"2008","3","Top 10%","Adults","22223063.169496864","0.78291523","37083200454289.42","1668680.8731745596","0.716603368"
"2008","4","Top 10%","Adults","22284532.935813762","0.78477269","34574040331453.35","1551481.4885749281","0.7191318306"
"2009","1","Top 10%","Adults","22349356.277250335","0.78438467","33206471824501.82","1485790.9736891647","0.7207665374"
"2009","2","Top 10%","Adults","22417653.253016833","0.78301424","33801387508785.52","1507802.2274359486","0.7206908608"
"2009","3","Top 10%","Adults","22484072.083704412","0.78385633","35108723456935.54","1561493.1017046946","0.7198288365"
"2009","4","Top 10%","Adults","22549025.78285109","0.78644013","35223782835965.89","1562097.7675565109","0.7177328818"
"2010","1","Top 10%","Adults","22614081.030231792","0.78857827","36030456568410.03","1593275.2925154227","0.7196099407"
"2010","2","Top 10%","Adults","22680958.94915106","0.79242516","35453999364603.64","1563161.3920773251","0.7236503253"
"2010","3","Top 10%","Adults","22744648.397399142","0.79481912","37000085765857.91","1626760.0676600866","0.7252504517"
"2010","4","Top 10%","Adults","22807014.885742873","0.79947507","38382913611140.34","1682943.3314017032","0.7291413135"
"2011","1","Top 10%","Adults","22873155.70671709","0.80360258","39289536047338.85","1717713.8367401056","0.7315344496"
"2011","2","Top 10%","Adults","22941712.13659635","0.80891061","39489758668965.33","1721308.2630381247","0.7328224836"
"2011","3","Top 10%","Adults","23006994.615383234","0.81391323","37993883605738.2","1651405.7677196239","0.7356574324"
"2011","4","Top 10%","Adults","23070428.00463705","0.81489551","39003890115212.1","1690644.4088238196","0.7358374323"
"2012","1","Top 10%","Adults","23134980.684018657","0.81984043","40668130230641","1757863.1590876589","0.7371559274"
"2012","2","Top 10%","Adults","23199398.96103354","0.82314241","40578270917105.83","1749108.7155000179","0.7386341455"
"2012","3","Top 10%","Adults","23258267.902197585","0.82741034","42012834894452.3","1806361.2935889636","0.7395446022"
"2012","4","Top 10%","Adults","23314849.183070093","0.83160394","42737766749455.34","1833070.6930109186","0.7406677644"
"2013","1","Top 10%","Adults","23375114.878372017","0.83493078","44521245346436","1904642.8468092612","0.7386824406"
"2013","2","Top 10%","Adults","23438283.51951952","0.83730006","44851211649342.73","1913587.7254829865","0.7369185183"
"2013","3","Top 10%","Adults","23498842.492437795","0.84124589","46279500641956.77","1969437.4587535562","0.7349479611"
"2013","4","Top 10%","Adults","23558094.25442072","0.84627324","47696217921110.81","2024621.2365909237","0.7338675177"
"2014","1","Top 10%","Adults","23619646.005697444","0.8497982","48881208739864.98","2069514.8745275028","0.73435938"
"2014","2","Top 10%","Adults","23682429.781048644","0.85461098","50227851834169.67","2120890.9853651687","0.7341265765"
"2014","3","Top 10%","Adults","23740666.663423494","0.85834223","50421676877043.79","2123852.6108757886","0.7330282506"
"2014","4","Top 10%","Adults","23796841.683348313","0.85977042","51786254755212.5","2176181.841452078","0.7341089975"
"2015","1","Top 10%","Adults","23855581.1833302","0.859465","52900340697051.42","2217524.707971362","0.7331884504"
"2015","2","Top 10%","Adults","23915687.53362772","0.8641209","53127412057501.06","2221446.1525640395","0.7328936235"
"2015","3","Top 10%","Adults","23972556.5252823","0.86669642","51967869930263.95","2167806.7533371677","0.7312777415"
"2015","4","Top 10%","Adults","24027190.057905193","0.86661386","53089282275607.88","2209550.1865870897","0.729140896"
"2016","1","Top 10%","Adults","24083480.50090273","0.86592042","53796968538820.3","2233770.51073676","0.7282411322"
"2016","2","Top 10%","Adults","24139695.50149817","0.87203753","54590965195478.98","2261460.389676039","0.7270355152"
"2016","3","Top 10%","Adults","24191776.886565834","0.87445623","55721165935766.05","2303310.178373425","0.7263560304"
"2016","4","Top 10%","Adults","24241339.119309332","0.87906259","56091454870984.66","2313876.0855956697","0.7254804622"
"2017","1","Top 10%","Adults","24292256.60448069","0.88350385","57575253285716.92","2370107.2412966858","0.7227983948"
"2017","2","Top 10%","Adults","24342491.015431013","0.8863436","58448762319908","2401100.293427513","0.7202186872"
"2017","3","Top 10%","Adults","24388882.21183855","0.89075184","59614967857531.86","2444350.1485522897","0.7172308267"
"2017","4","Top 10%","Adults","24433596.603313483","0.89708346","61459492738234.25","2515368.233995466","0.7160502014"
"2018","1","Top 10%","Adults","24480329.74987893","0.90196228","62048197715085.31","2534614.45777266","0.715084111"
"2018","2","Top 10%","Adults","24527614.80651747","0.90999448","62966853800227","2567182.104616853","0.7152368229"
"2018","3","Top 10%","Adults","24571924.8258534","0.91299111","64450694964041.3","2622940.4257426905","0.715735685"
"2018","4","Top 10%","Adults","24615430.52135332","0.91776264","61319834002483.97","2491113.610598459","0.7147048433"
"2019","1","Top 10%","Adults","24658752.84750794","0.92056108","65514481772731.92","2656844.901195112","0.7151643473"
"2019","2","Top 10%","Adults","24687683.531307984","0.9258278","66938591199540.28","2711416.4483942487","0.7150346968"
"2019","3","Top 10%","Adults","24722201.781448495","0.92884094","67272402831574.22","2721133.150933803","0.7136574719"
"2019","4","Top 10%","Adults","24756571.626376912","0.93264657","70050666800895.13","2829578.6612981413","0.7145866447"
"2020","1","Top 10%","Adults","24782367.66099854","0.93568444","64589958360520.19","2606286.826345861","0.7117876681"
"2020","2","Top 10%","Adults","24810043.22757645","0.93166423","70528872954837.81","2842754.9403237123","0.7123749105"
"2020","3","Top 10%","Adults","24845389.338143293","0.94015872","73590478751300.33","2961937.031846883","0.7132623474"
"2020","4","Top 10%","Adults","24879055.662147395","0.94470727","79618356653104.28","3200216.18723418","0.7151552495"
"2021","1","Top 10%","Adults","24893795.909563895","0.95472074","83189871445315.11","3341791.334175539","0.7168794743"
"2021","2","Top 10%","Adults","24908686.968763486","0.96925795","87190216216763.06","3500393.911814909","0.7170437387"
"2021","3","Top 10%","Adults","24931072.8922685","0.9833082","90848700505091.72","3643994.8211480808","0.7165761821"
"2021","4","Top 10%","Adults","24953384.212072313","1","93168682460299.95","3733709.290430652","0.7170842871"
"1976","1","Top 1%","Adults","1426865.9742380292","0.25500882","1019819558893.491","714726.9451414959","0.2343426691"
"1976","2","Top 1%","Adults","1434343.262963304","0.25757614","1039757605876.396","724901.5160626839","0.2309593251"
"1976","3","Top 1%","Adults","1441625.9571761251","0.26090294","1047456448907.2429","726579.9035410084","0.2284913572"
"1976","4","Top 1%","Adults","1448898.241656696","0.26558363","1065321040027.754","735262.842758127","0.2259225825"
"1977","1","Top 1%","Adults","1456449.1572282333","0.26985976","1071163082380.8291","735462.0496463868","0.2240348862"
"1977","2","Top 1%","Adults","1464245.6247274743","0.27366537","1104383131556.68","754233.5199138655","0.2241642761"
"1977","3","Top 1%","Adults","1471643.0028477982","0.2769922","1125818893361.4658","765008.1515577331","0.2237460379"
"1977","4","Top 1%","Adults","1478982.51270088","0.28297713","1149312155103.87","777096.5141467601","0.2231317789"
"1978","1","Top 1%","Adults","1486668.7674514072","0.28709644","1164055586818.803","782995.925053528","0.2204839631"
"1978","2","Top 1%","Adults","1494587.7269988684","0.29258609","1203728179515.436","805391.4519507809","0.2194479574"
"1978","3","Top 1%","Adults","1502174.3554595143","0.2975474","1243762874709.491","827975.0417713826","0.2183340479"
"1978","4","Top 1%","Adults","1509645.380431212","0.30363971","1259387741372.38","834227.5329671468","0.2162144149"
"1979","1","Top 1%","Adults","1517410.161017162","0.30917063","1333798134209.348","878996.4430680141","0.2193313919"
"1979","2","Top 1%","Adults","1525368.4558552408","0.3167488","1403826556893.063","920319.6457251819","0.2228354331"
"1979","3","Top 1%","Adults","1532294.9462699993","0.32366663","1486088563369.5342","969844.9812074736","0.2272862622"
"1979","4","Top 1%","Adults","1541189.683083691","0.32967636","1562591844684.397","1013886.7796972813","0.2316172826"
"1980","1","Top 1%","Adults","1548263.969570137","0.33660239","1576937564775.4758","1018519.8362610607","0.2292018967"
"1980","2","Top 1%","Adults","1555850.4287601162","0.34460983","1649314115976.124","1060072.4115174045","0.2297622803"
"1980","3","Top 1%","Adults","1564058.872405501","0.35231188","1731164969004.271","1106841.3085638925","0.2299746308"
"1980","4","Top 1%","Adults","1570392.3130505593","0.36149156","1808570959971.583","1151668.24553436","0.2322521143"
"1981","1","Top 1%","Adults","1576736.2242393282","0.37100971","1859939414038.291","1179613.5494607475","0.2347929202"
"1981","2","Top 1%","Adults","1583940.9122705082","0.37836501","1910097027524.343","1205914.319610764","0.2345056535"
"1981","3","Top 1%","Adults","1590583.9003743082","0.38548091","1910804500401.144","1201322.6714739657","0.2328647496"
"1981","4","Top 1%","Adults","1597082.410761866","0.3921428","1990635641341.249","1246420.1145335035","0.2348663425"
"1982","1","Top 1%","Adults","1603737.8308084921","0.39754167","2003989369356.289","1249574.1703280879","0.23340208"
"1982","2","Top 1%","Adults","1610463.1798976308","0.40270939","2042537018348.136","1268291.6590977076","0.2351611736"
"1982","3","Top 1%","Adults","1616767.7571807632","0.40842187","2111449618971.3232","1305969.6481411536","0.2368542903"
"1982","4","Top 1%","Adults","1622924.030838529","0.4126485","2227981677695.5","1372819.451409781","0.2422361304"
"1983","1","Top 1%","Adults","1629370.3625557667","0.4157607","2293463691350.975","1407576.6590927416","0.241133713"
"1983","2","Top 1%","Adults","1635915.060234012","0.41885632","2362063965532.772","1443879.34493059","0.2411647609"
"1983","3","Top 1%","Adults","1642048.801967456","0.42330587","2372908419982.03","1445090.0710983002","0.2395013501"
"1983","4","Top 1%","Adults","1648045.2237771393","0.42651707","2367940728377.354","1436817.8094957205","0.2378453368"
"1984","1","Top 1%","Adults","1654122.8908835468","0.4308345","2385754452793.122","1442307.863546206","0.2360801829"
"1984","2","Top 1%","Adults","1660212.306111223","0.43451631","2413551689925.656","1453760.8720531699","0.2355026167"
"1984","3","Top 1%","Adults","1665715.5348571988","0.43837973","2490723732915.571","1495287.5690921017","0.2355502664"
"1984","4","Top 1%","Adults","1671044.008055289","0.44165701","2553212185851.074","1527914.3897726703","0.235895143"
"1985","1","Top 1%","Adults","1676643.2009103794","0.44602394","2661299601192.726","1587278.4381004262","0.2380049185"
"1985","2","Top 1%","Adults","1682297.7659081","0.44889671","2760175418885.735","1640717.5202992673","0.2404683979"
"1985","3","Top 1%","Adults","1687545.923776501","0.45160443","2804261479705.688","1661739.357842261","0.2415262434"
"1985","4","Top 1%","Adults","1692626.540593651","0.4541305","2986422139645.636","1764371.565743153","0.2443370836"
"1986","1","Top 1%","Adults","1697866.5210785142","0.45639235","3122402402319.7437","1839015.2368022073","0.2459369466"
"1986","2","Top 1%","Adults","1703088.2848173592","0.45811769","3207826127541.788","1883534.844399331","0.2466481039"
"1986","3","Top 1%","Adults","1707893.5027072749","0.45999983","3214939161107.21","1882400.252715427","0.2458453414"
"1986","4","Top 1%","Adults","1712561.797948439","0.46250117","3369628739100.898","1967595.4135713761","0.2483229737"
"1987","1","Top 1%","Adults","1717323.865732911","0.46543998","3592967443906.6333","2092189.7817877494","0.2524320095"
"1987","2","Top 1%","Adults","1722099.3275021168","0.46866772","3698004442688.456","2147381.6194170197","0.2553243961"
"1987","3","Top 1%","Adults","1726548.203380751","0.47220919","3843407114514.552","2226064.1822734997","0.2588341475"
"1987","4","Top 1%","Adults","1730884.833565768","0.47597352","3789453080881.5737","2189315.549709325","0.2611460506"
"1988","1","Top 1%","Adults","1735529.68810536","0.47970483","3980148751926.919","2293333.717772331","0.2663110646"
"1988","2","Top 1%","Adults","1740355.501945551","0.48437718","4148653454858.3364","2383796.55778405","0.2708132424"
"1988","3","Top 1%","Adults","1744944.34017764","0.49016401","4283081461304.64","2454566.2361176577","0.2755900029"
"1988","4","Top 1%","Adults","1749605.081471222","0.49439895","4496330563266.329","2569911.6965786465","0.2815944506"
"1989","1","Top 1%","Adults","1754655.3146208192","0.49955836","4590025573314.584","2615912.957415507","0.2813181909"
"1989","2","Top 1%","Adults","1759951.1421555222","0.50487465","4699104191222.693","2670019.6833120077","0.2815883772"
"1989","3","Top 1%","Adults","1765059.750648729","0.50856471","4840187871612.968","2742223.2419236843","0.2816143788"
"1989","4","Top 1%","Adults","1770675.66320566","0.51218873","4936692182647.398","2788027.353191228","0.2821273993"
"1990","1","Top 1%","Adults","1777081.279561942","0.51771134","4880067796427.043","2746114.0087132086","0.2809994243"
"1990","2","Top 1%","Adults","1783976.9859102168","0.52350646","4967783762188.312","2784668.0766756977","0.2817653325"
"1990","3","Top 1%","Adults","1790808.904342087","0.52799726","4816444750993.273","2689535.8512653555","0.2784469074"
"1990","4","Top 1%","Adults","1797608.705345676","0.53192663","4997265710886.856","2779951.8860951965","0.281518666"
"1991","1","Top 1%","Adults","1804663.77571112","0.53713566","5164330506780.778","2861657.986538681","0.2818796438"
"1991","2","Top 1%","Adults","1811645.9812300713","0.54108161","5109574843321.797","2820404.701724615","0.2792362145"
"1991","3","Top 1%","Adults","1817980.9967034434","0.54530823","5163594182808.912","2840290.515782118","0.2776358126"
"1991","4","Top 1%","Adults","1824240.8246864544","0.54854423","5354222744150.881","2935041.6193383625","0.2790379453"
"1992","1","Top 1%","Adults","1830628.779232979","0.55058324","5340619106333.383","2917368.7024471806","0.2797451421"
"1992","2","Top 1%","Adults","1836842.791598488","0.55389357","5368458137854.771","2922655.2007659525","0.2807678095"
"1992","3","Top 1%","Adults","1842522.01017786","0.55660123","5491349002230.767","2980343.774401198","0.2830329067"
"1992","4","Top 1%","Adults","1847938.4803040433","0.5604316","5757009744109.57","3115368.723293409","0.2881369303"
"1993","1","Top 1%","Adults","1853479.41523821","0.56357676","5829403837298.447","3145113.8811537595","0.2871706767"
"1993","2","Top 1%","Adults","1858935.0186917188","0.56692845","5866397375102.272","3155783.9925092836","0.2863480182"
"1993","3","Top 1%","Adults","1863991.6995070716","0.57029653","5975432294844.758","3205718.296076612","0.2865812553"
"1993","4","Top 1%","Adults","1869076.47535986","0.57340866","6105217970468.924","3266435.6172443205","0.2874344468"
"1994","1","Top 1%","Adults","1874482.340476935","0.57614928","6073323235778.0625","3240000.2414708226","0.2859787834"
"1994","2","Top 1%","Adults","1880056.7145349102","0.57893133","6075787217550.733","3231704.219653696","0.2847815541"
"1994","3","Top 1%","Adults","1885429.7362168708","0.58224988","6163701711115.299","3269122.9976476417","0.284256622"
"1994","4","Top 1%","Adults","1890787.282829344","0.58541155","6216565128305.527","3287818.3520481256","0.2844713519"
"1995","1","Top 1%","Adults","1896330.815504781","0.58858985","6362547539339.777","3355188.602810392","0.2842269404"
"1995","2","Top 1%","Adults","1901862.5892101761","0.59141302","6524851197558.744","3430768.991711671","0.2844065339"
"1995","3","Top 1%","Adults","1906902.074979484","0.59432715","6721898804188.115","3525036.179039469","0.285409903"
"1995","4","Top 1%","Adults","1912079.455668908","0.59719163","6949065994811.487","3634297.7140458194","0.2870921164"
"1996","1","Top 1%","Adults","1917723.9894304129","0.6000644","7144955060475.472","3725747.344172093","0.2888460734"
"1996","2","Top 1%","Adults","1923744.184411935","0.60254914","7301991165287.353","3795718.3831692683","0.2905492861"
"1996","3","Top 1%","Adults","1929548.8197771532","0.60452223","7383920561048.949","3826760.1655716235","0.2909069387"
"1996","4","Top 1%","Adults","1935419.5160900909","0.60774994","7632030517637.103","3943346.883809062","0.2925747541"
"1997","1","Top 1%","Adults","1941627.8640887141","0.6113739","7775330503476.103","4004542.0892872205","0.2963476104"
"1997","2","Top 1%","Adults","1947877.785932617","0.61261219","8358193012394.506","4290922.702007568","0.3015701068"
"1997","3","Top 1%","Adults","1953644.0753476268","0.61527038","8762835047711.305","4485379.480472699","0.3046255656"
"1997","4","Top 1%","Adults","1959313.675314056","0.61729282","8972745447541.238","4579534.946645543","0.3069159213"
"1998","1","Top 1%","Adults","1965351.6193692181","0.61820096","9679178447020.66","4924909.289324626","0.3117358168"
"1998","2","Top 1%","Adults","1971548.7659220248","0.61965382","9873429614239.312","5007956.072353023","0.3130439045"
"1998","3","Top 1%","Adults","1977511.131733541","0.62232023","9428235801348.902","4767728.307594329","0.3088070302"
"1998","4","Top 1%","Adults","1983471.6080731282","0.62402904","10347347878801.84","5216786.485214134","0.3148268755"
"1999","1","Top 1%","Adults","1990011.9427744132","0.62602675","10343130139018.25","5197521.641301397","0.3123127443"
"1999","2","Top 1%","Adults","1996748.028110802","0.62839597","10742210682530.45","5379852.906475163","0.3143351297"
"1999","3","Top 1%","Adults","2003178.471440181","0.63063312","10518352150670.56","5250831.266726032","0.3115046264"
"1999","4","Top 1%","Adults","2009454.9225439858","0.63411677","11660707162433.82","5802920.499292053","0.3185968669"
"2000","1","Top 1%","Adults","2015881.336175931","0.63832688","12184438836577.18","6044224.239751488","0.3219191578"
"2000","2","Top 1%","Adults","2022336.7204690098","0.64230585","11953860081766.69","5910914.814914904","0.3197019981"
"2000","3","Top 1%","Adults","2028446.499324606","0.64607018","12191839358932.6","6010431.807292925","0.3209588504"
"2000","4","Top 1%","Adults","2034433.303199651","0.64957863","11731182088034.45","5766314.417673096","0.3163116088"
"2001","1","Top 1%","Adults","2040636.6279253259","0.65383822","11327888047831.18","5551153.935401039","0.3100402252"
"2001","2","Top 1%","Adults","2046929.7361655359","0.65779245","11884191602922.19","5805862.015168414","0.3144834669"
"2001","3","Top 1%","Adults","2052889.824927916","0.66037631","11209223194808.62","5460216.646162301","0.3092043785"
"2001","4","Top 1%","Adults","2058637.986977373","0.66243184","11948614591970.14","5804135.874085311","0.3148379302"
"2002","1","Top 1%","Adults","2064519.2132624132","0.66456991","12107515397269.67","5864569.009332213","0.3144493969"
"2002","2","Top 1%","Adults","2070314.9577727793","0.66687304","11684958686066.68","5644048.815952729","0.3113851112"
"2002","3","Top 1%","Adults","2075721.000064209","0.67008436","10980059040265.63","5289756.686917934","0.3043720475"
"2002","4","Top 1%","Adults","2081112.7924245032","0.67393118","11371464926861.6","5464127.157477998","0.3077495397"
"2003","1","Top 1%","Adults","2086834.302884605","0.67729104","11215472210778.03","5374395.176116773","0.3028310758"
"2003","2","Top 1%","Adults","2092797.989845501","0.67962724","12017381147261.14","5742255.681423086","0.3082437397"
"2003","3","Top 1%","Adults","2098516.898129637","0.68349057","12296877239789.13","5859794.243615133","0.3089160606"
"2003","4","Top 1%","Adults","2104354.371879878","0.68770075","13065600005616.13","6208840.1935574515","0.3121399061"
"2004","1","Top 1%","Adults","2110514.817086309","0.69256294","13889097511965.14","6580904.999823627","0.3149943975"
"2004","2","Top 1%","Adults","2116817.723111053","0.69812691","13966915629746.68","6598071.944153854","0.3129284607"
"2004","3","Top 1%","Adults","2122875.9404909657","0.70260942","14230753363687.83","6703525.671121709","0.3126643655"
"2004","4","Top 1%","Adults","2128792.464177504","0.70804125","15086593805761.15","7086925.597319848","0.3145021304"
"2005","1","Top 1%","Adults","2135125.3468329567","0.71367961","15292000210186.64","7162108.881742869","0.3149362837"
"2005","2","Top 1%","Adults","2141706.3375121485","0.71887201","15852884560563.89","7401987.977015998","0.3178480963"
