date,manufactor
1970-02-01,25.74994740901760000000
1970-03-01,25.69593147751610000000
1970-04-01,25.51858496383920000000
1970-05-01,25.34868680051740000000
1970-06-01,25.24321051964690000000
1970-07-01,25.16009176248720000000
1970-08-01,25.06308414508650000000
1970-09-01,24.93797925124040000000
1970-10-01,24.35161157669350000000
1970-11-01,24.17872715135850000000
1970-12-01,24.45050288168150000000
1971-01-01,24.38439285966270000000
1971-02-01,24.31398025618940000000
1971-03-01,24.20829805249790000000
1971-04-01,24.14128047750440000000
1971-05-01,24.17645655255660000000
1971-06-01,24.05338647654870000000
1971-07-01,24.01458318726780000000
1971-08-01,23.97965617250220000000
1971-09-01,23.95341692965060000000
1971-10-01,23.90497194383180000000
1971-11-01,23.89243809762410000000
1971-12-01,23.85555201153810000000
1972-01-01,23.85803619497250000000
1972-02-01,23.89742319127850000000
1972-03-01,23.91834832200040000000
1972-04-01,23.93045570104700000000
1972-05-01,23.95840422491120000000
1972-06-01,23.91740556956530000000
1972-07-01,23.81798694867660000000
1972-08-01,23.92873039209070000000
1972-09-01,23.93353441775290000000
1972-10-01,23.96148592548950000000
1972-11-01,24.01531217905110000000
1972-12-01,24.12446192272940000000
1973-01-01,24.16916830871360000000
1973-02-01,24.21922277475200000000
1973-03-01,24.24230507052590000000
1973-04-01,24.23647897456020000000
1973-05-01,24.21981004070560000000
1973-06-01,24.19914940106910000000
1973-07-01,24.18056765436270000000
1973-08-01,24.14083557951480000000
1973-09-01,24.08121538381900000000
1973-10-01,24.09834164443930000000
1973-11-01,24.09265913757700000000
1973-12-01,24.11861952301010000000
1974-01-01,24.05633802816900000000
1974-02-01,23.93104505839960000000
1974-03-01,23.88372330642690000000
1974-04-01,23.86006991401090000000
1974-05-01,23.79151866987490000000
1974-06-01,23.77741590758740000000
1974-07-01,23.72450277226720000000
1974-08-01,23.62024447016620000000
1974-09-01,23.52372471695710000000
1974-10-01,23.35495358005850000000
1974-11-01,23.09716987159010000000
1974-12-01,22.78498944006590000000
1975-01-01,22.43928945700130000000
1975-02-01,22.10665903949660000000
1975-03-01,21.98752739797520000000
1975-04-01,21.91865027465340000000
1975-05-01,21.85477135101270000000
1975-06-01,21.81100612903650000000
1975-07-01,21.72463201771530000000
1975-08-01,21.80602180083730000000
1975-09-01,21.88843424664630000000
1975-10-01,21.90353366004640000000
1975-11-01,21.91542768874300000000
1975-12-01,21.96957073458350000000
1976-01-01,22.02081449116590000000
1976-02-01,22.05643524157530000000
1976-03-01,22.10049590122460000000
1976-04-01,22.12202996519190000000
1976-05-01,22.08114787169660000000
1976-06-01,22.07342269703690000000
1976-07-01,22.02974342212780000000
1976-08-01,22.07668372980030000000
1976-09-01,22.11109998497970000000
1976-10-01,21.95942986572560000000
1976-11-01,22.03639082751740000000
1976-12-01,22.02540771678600000000
1977-01-01,22.06345272028750000000
1977-02-01,22.03165901121150000000
1977-03-01,22.04297772480990000000
1977-04-01,22.05364134690680000000
1977-05-01,22.05803527921260000000
1977-06-01,22.05411696246730000000
1977-07-01,22.04288094260810000000
1977-08-01,21.99939813421610000000
1977-09-01,21.94847483599100000000
1977-10-01,21.90453460620530000000
1977-11-01,21.88231380608980000000
1977-12-01,21.95356000473880000000
1978-01-01,21.97910017258910000000
1978-02-01,21.94165842633140000000
1978-03-01,21.88041188860290000000
1978-04-01,21.78686660012530000000
1978-05-01,21.78732848605350000000
1978-06-01,21.75848188614150000000
1978-07-01,21.73180129351860000000
1978-08-01,21.72536378496390000000
1978-09-01,21.76190639230320000000
1978-10-01,21.76315430442490000000
1978-11-01,21.78615469900780000000
1978-12-01,21.80419753921800000000
1979-01-01,21.83136654355460000000
1979-02-01,21.79439672112740000000
1979-03-01,21.74029660590750000000
1979-04-01,21.75201583591490000000
1979-05-01,21.72760583144930000000
1979-06-01,21.69951613619210000000
1979-07-01,21.64891317600900000000
1979-08-01,21.49058693244740000000
1979-09-01,21.52401828910510000000
1979-10-01,21.42991346249490000000
1979-11-01,21.30767447252490000000
1979-12-01,21.28661549320630000000
1980-01-01,21.23568281938330000000
1980-02-01,21.14696918015470000000
1980-03-01,21.11897487746440000000
1980-04-01,20.88410439300380000000
1980-05-01,20.71001990710020000000
1980-06-01,20.52141485666090000000
1980-07-01,20.34283170080140000000
1980-08-01,20.43751872939770000000
1980-09-01,20.44605544655430000000
1980-10-01,20.45087855011600000000
1980-11-01,20.49764730514510000000
1980-12-01,20.49635485963740000000
1981-01-01,20.47499258510650000000
1981-02-01,20.43027276219750000000
1981-03-01,20.44403025983990000000
1981-04-01,20.49779257912210000000
1981-05-01,20.55511742025940000000
1981-06-01,20.53667067439060000000
1981-07-01,20.50741804128780000000
1981-08-01,20.47507235297330000000
1981-09-01,20.45541502235530000000
1981-10-01,20.31735609542570000000
1981-11-01,20.19172763269020000000
1981-12-01,20.04840750316300000000
1982-01-01,19.92712416496440000000
1982-02-01,19.85468679261950000000
1982-03-01,19.74589203175800000000
1982-04-01,19.61508596783140000000
1982-05-01,19.51901628064410000000
1982-06-01,19.39576030712740000000
1982-07-01,19.30049932418090000000
1982-08-01,19.20257824826830000000
1982-09-01,19.14490429790430000000
1982-10-01,18.95576276333700000000
1982-11-01,18.83405041335350000000
1982-12-01,18.80118507170130000000
1983-01-01,18.77177210922580000000
1983-02-01,18.78830819753250000000
1983-03-01,18.75743630037040000000
1983-04-01,18.79280247079360000000
1983-05-01,18.83561643835620000000
1983-06-01,18.84004843314340000000
1983-07-01,18.86285480500240000000
1983-08-01,18.99277701960520000000
1983-09-01,18.91021074665470000000
